Type,Card_Text
W104,"Dwayne ""The Rock"" Johnson."
W105,A pangender octopus who roams the cosmos in search of love.
W106,A sea of troubles.
W107,A bit of slap and tickle.
W108,Waking up in Idris Elba's arms.
W109,Meth.
W110,Nicolas Cage.
W111,Hospice care.
W112,Faffing about.
W113,Muslims
W114,Muhammad (Peace Be Upon Him).
W115,Yeast.
W116,Hot cheese.
W117,Men discussing their feelings in an emotionally healthy way.
W118,A middle-aged man on roller skates.
W119,Licking the Queen.
W120,The violation of our most basic human rights.
W121,Poor people.
W122,Silence.
W123,"Soft, kissy missionary sex."
W124,A time travel paradox.
W125,Three dicks at the same time.
W126,Giving 110%.
W127,Worshipping that pussy.
W128,Extremely tight trousers.
W129,Having sex for the first time.
W130,My fat daughter.
W131,A bag of magic beans.
W132,Chunks of dead hitchhiker.
W133,A disappointing birthday party.
W134,Hope.
W135,The Holy Bible.
W136,Penis envy.
W137,AIDS.
W138,Our dildo.
W139,Oompa-Loompas.
W140,Dead parents.
W141,Darth Vader.
W142,A really cool hat.
W143,My balls on your face.
W144,Fucking the weather man on live television.
W145,The female orgasm.
W146,The true meaning of Christmas.
W147,All the dudes I've fucked.
W148,Touching a pug right on his penis.
W149,Pictures of boobs.
W150,Incest.
W151,God.
W152,A comprehensive understanding of the Irish backstop.
W153,Danny Dyer.
W154,Being a motherfucking sorcerer.
W155,Wizard music.
W156,"Her Majesty, Queen Elizabeth II."
W157,"Martin Lewis, Money Saving Expert."
W158,Vladimir Putin.
W159,A Super Soaker™ full of cat pee.
W160,The Pope.
W161,"Jews, gypsies, and homosexuals."
W162,Running out of semen.
W163,Seppuku.
W164,A man on the brink of orgasm.
W165,One trillion dollars.
W166,Casually suggesting a threesome.
W167,Menstrual rage.
W168,The smell of a Primark.
W169,An older woman who knows her way around the penis.
W170,Alcoholism.
W171,Fellowship in Christ.
W172,Some bloody peace and quiet.
W173,Licking things to claim them as your own.
W174,Shutting up so I can watch the match.
W175,The milkman.
W176,Wet dreams.
W177,Being able to talk to elephants.
W178,Puppies!.
W179,Your mum.
W180,Brexit.
W181,Not wearing trousers.
W182,Goblins.
W183,"Maureen of Blackpool, Reader's Wife of the Year 1988."
W184,Getting crushed by a vending machine.
W185,Filling my breifcase with business stuff.
W186,My little boner.
W187,Emerging from the sea and rampaging through Tokyo.
W188,Radical Islamic terrorism.
W189,Smegma.
W190,However much weed £20 can buy.
W191,Nicki Minaj.
W192,Child beauty pageants.
W193,A stray pube.
W194,A sober Irishman who doesn't care for potatoes.
W195,A much younger woman.
W196,A foetus.
W197,Discovering he's a Tory.
W198,Egging an MP.
W199,Inserting a Mason jar into my anus.
W200,The bombing of Nagasaki.
W201,Viagra
W202,Harry Potter erotica
W203,Pooping back and forth. Forever. 
W204,Somali pirates. 
W205,Gloryholes
W206,Still being a virgin. 
W207,David Bowie flying in on a tiger made of lightning
W208,Grabbing my man by his love handles and fucking his big arse
W209,Getting fingered. 
W210,Completely unwarranted confidence. 
W211,Hot people
W212,An erection that lasts longer than four hours. 
W213,Waiting till marriage. 
W214,72 virgins. 
W215,Finger Painting
W216,An unwanted pregnancy. 
W217,Arnold Schwarzenegger. 
W218,Vigorous jazz hands. 
W219,Scourses
W220,Vomiting seafood and bleeding anally. 
W221,The Big Bang. 
W222,My abusive boyfriend who really isn't so bad once you get to know him
W223,Genuine human connection
W224,My sex life. 
W225,Ainsley Harriott. 
W226,Diversity. 
W227,brown people
W228,Bitches. 
W229,Sitting in a jar of vinegar all night because I am gherkin. 
W230,Foreskin. 
W231,"The penny whistle solo from ""My Heart Will Go On"""
W232,Establishing dominance
W233,The Force. 
W234,Being a woman. 
W235,Ryanair. 
W236,Cottaging
W237,Friction. 
W238,Flying sex snakes. 
W239,Raptor attacks. 
W240,Spaniards. 
W241,8 oz. of sweet Mexican black-tar heroin. 
W242,A bitch salp
W243,The petty troubles of the aristocracy
W244,A gossamer stream of jizz that catches the light as it arcs through the morning air
W245,Ghosts. 
W246,Lads. 
W247,A good sniff. 
W248,A white van man. 
W249,World peace
W250,A meat raffle! 
W251,Rectangles
W252,Wanking into a pool of children's tears. 
W253,Pixelated bukkake. 
W254,German dungeon porn
W255,Queuing
W256,My soul. 
W257,Seeing my father cry. 
W258,My cheating prick of a husband
W259,Doing the right thing
W260,A horde of Vikings. 
W261,A mopey zoo lion. 
W262,A lifetime of sadness. 
W263,Unfathomable stupidity
W264,Object permanence
W265,A salty surprise. 
W266,The wifi password. 
W267,An oversized lollipop. 
W268,Free samples. 
W269,Trench foot. 
W270,A nice cup of tea. 
W271,Penis breath
W272,Being a witch
W273,Geese. 
W274,Flightless birds. 
W275,A Fleshlight®. 
W276,Heartwarming orphans. 
W277,"10,000 Syrian refugees. "
W278,Girls
W279,"Blood, sweat, and tears. "
W280,A live studio audience. 
W281,"Some foundation, mascara, and a touch of blush. "
W282,Theraphy
W283,Being rich
W284,Chainsaws for hands
W285,A slightly salty toad in the hole. 
W286,Teaching a robot to love. 
W287,Crippling debt. 
W288,"Looking in the mirror, applying lipstick, and whispering, ""Tonight, you will have sex with Tom Cruise."""
W289,Being a dick to children. 
W290,All my gentleman suitors
W291,Throwing grapes at a man until he loses touch with reality
W292,Queen Elizabeth's enmaculate anus
W293,Seeing what happens when you lock people in a room with hungry seagulls. 
W294,"A ball of earwax, semen, and toenail clippings. "
W295,White people.
W296,Accepting the way things are
W297,Auschwitz. 
W298,Mutually-assured destruction
W299,Hobos
W300,Sex with Patrick Stewart
W301,"Barely making £15,000 a year. "
W302,A micropig wearing a tiny raincoat and booties.
W303,How far I can get my own penis up my butt
W304,Getting naked and watching Cbeebies
W305,The placenta. 
W306,A homoerotic volleyball montage. 
W307,Executing a hostage every hour. 
W308,A fuck-tone of almonds
W309,Being marginalised. 
W310,Seeing Granny naked. 
W311,A sorry excuse for a father. 
W312,Knife crime
W313,Hurting those closest to me. 
W314,Permanent Orgasm-Face Disorder. 
W315,A hen night in Slough
W316,The Welch
W317,Dying. 
W318,Daddy issues. 
W319,Getting the same Boots Meal Deal every day for six years
W320,More elephant cock than I bargained for
W321,Scottish independence
W322,A tiny horse
W323,Getting really high
W324,Crumbs all over the bloody carpet. 
W325,Farting and walking away. 
W326,Balls
W327,Masturbating
W328,A bleached arsehole. 
W329,A windmill full of corpses. 
W330,Jimmy Savile. 
W331,White privilege. 
W332,Making a pouty face. 
W333,Being on fire. 
W334,An endless stream of diarrhoea. 
W335,Having big dreams but no realistic way to achieve them. 
W336,Putting things where they go. 
W337,Man meat
W338,Dry heaving
W339,Barack Obama. 
W340,"Getting married, having a few kids, retiring to the south of France, and dying. "
W341,Drowning the kids in the bathtub. 
W342,Spontaneous Human Combustion
W343,A saxophone solo
W344,Giving birth to the Antichrist
W345,A fanny fart. 
W346,Having anuses for eyes. 
W347,German Chancellor Angela Merkel. 
W348,A little boy who won't shut the fuck up about dinosaurs
W349,Peeing a little bit. 
W350,A snapping turtle biting the tip of your penis. 
W351,A pyramid of severed heads. 
W352,My good bra
W353,Sideboob. 
W354,A sad handjob. 
W355,Not reciprocating oral sex
W356,Forced sterilisation.
W357,Lactation. 
W358,Little boy penises. 
W359,The screams...the terrible screams. 
W360,Ethnic cleasing.
W361,Sniffing glue. 
W362,Donald J. Trump
W363,Dirty nappies
W364,Eating a hard-boiled egg out of my husband's arsehole.
W365,Expecting a burp and vomiting on the floor. 
W366,Invading Poland. 
W367,The Scouts. 
W368,Puberty
W369,Natural selection. 
W370,Shitting out a perfect Cumberland sausage 
W371,The heart of a child. 
W372,The unstoppable tide of Islam
W373,Cunnilingus. 
W374,My collection of Japanese sex toys. 
W375,Holding down a child and farting all over him. 
W376,Passive-aggressive Post-it notes
W377,The Jews. 
W378,Braiding three penises into a Curly Wurly. 
W379,Tories
W380,Necrophilia
W381,Madeleine McCann. 
W382,Justin Bieber
W383,Slapping Nigel Farage over and over
W384,Police Brutality
W385,A crucifixion
W386,My uber driver
W387,A bird that shits human turds
W388,Powerful things.
W389,Kissing Nan on the forehead and turning off her life support
W390,Dead birds everywhere
W391,Tap dancing like there's no tomorrow
W392,Blowing my boyfriend so hard he shits
W393,Gandhi
W394,Listening to her problems without trying to solve them.
W395,The bastard seagull who stole my chips. 
W396,Famine. 
W397,The arrival of the pizza. 
W398,7 dead and 3 in critical condition. 
W399,"Sweet, sweet vengeance. "
W400,Spectacular abs. 
W401,Your weird brother. 
W402,Sunshine and rainbows. 
W403,Grandma. 
W404,Agriculture. 
W405,RoboCop. 
W406,A deep-rooted fear of the working class. 
W407,"A salad for men that's made of metal, "
W408,Drinking alone. 
W409,Spaghetti? Again? 
W410,Dick pics. 
W411,My ex-wife. 
W412,Emotions. 
W413,Boris Johnson. 
W414,A Ginsters pasty and three cans of Monster Energy
W415,A balance breakfast
W416,The end of days
W417,Sexual tension
W418,No giving a shit about the Third World
W419,The miracle of childbirth
W420,Fake tits
W421,The illusion of choice in a late-stage capitalist society. 
W422,The North. 
W423,Bees? 
W424,Chemical weapons. 
W425,Kamikaze pilots. 
W426,Me time. 
W427,Daddies® Brown Sauce. 
W428,"50,000 volts straight to the nipples. "
W429,A brain tumour. 
W430,"The cool, refreshing taste of Pepsi. "
W431,Laying an egg. 
W432,The Black Death. 
W433,Academy Award winner Meryl Streep
W434,Dead babies
W435,Drinking out of the toilet and eating rubbish
W436,Nazis
W437,Huge biceps
W438,Murder
W439,Selling crack to children
W440,A bowl of mayonnaise and human teeth
W441,Poverty. 
W442,Full frontal nudity. 
W443,The way James Bond treats women. 
W444,COVID-19. 
W445,Firing a rifle into the air while balls deep in a squealing hog. 
W446,Illegal immigrants. 
W447,Polish people. 
W448,Breaking out into song and dance. 
W449,Waking up half-naked in a Wetherspoons car park. 
W450,"My neck, my back, my pussy, and my crack. "
W451,"Saying ""I love you."" "
W452,Italians
W453,Batman!
W454,Inappropiate yodeling
W455,Explaining the difference between sex and gender
W456,Judging everyone
W457,A falcon with a cap on its head
W458,My mate Dave
W459,Many bats
W460,Pac-Man uncontrollably guzzling cum
W461,Throwing a virgin into a volcano. 
W462,"The KKK, "
W463,Leprosy. 
W464,The Devil himself.
W465,Going an entire day without masturbating. 
W466,PTSD. 
W467,The Russians. 
W468,Multiple stab wounds. 
W469,An AK-47 assault rifle. 
W470,Repression. 
W471,Tentacle porn. 
W472,An octopus giving 7 handjobs and smoking a cigarette. 
W473,Telling a shitty story that goes nowhere. 
W474,Erectile dysfunction
W475,The clitoris
W476,My bright pink fuckhole
W477,Bubble butt bottom boys
W478,England
W479,The magic of live theatre
W480,A vindaloo poo
W481,Seething with quiet resentment. 
W482,Danny DeVito. 
W483,Pooping in a laptop and closing it. 
W484,Dogging. 
W485,One titty hanging out. 
W486,Serfdom. 
W487,"Bananas, "
W488,Teenage pregnancy. 
W489,Racism. 
W490,Nipple blades. 
W491,My vagina. 
W492,Women's suffrage. 
W493,The gays. 
W494,Dark and mysterious forces beyond our control. 
W495,Cards Against Humanity.
W496,Magnets
W497,"Kourtney, Kim, Khloe, Kendall and Kylie"
W498,Being fucking stupid
W499,The French
W500,Consensual sex 
